2.35,1.02,1.54,,,,,,,,,,,,,,,,,
0.77,0.66,0.57,,,,,,,,,,,,,,,,,
1.66,0.15,0.19,,,,,,,,,,,,,,,,,
0.63,0.18,0.19,,,,,,,,,,,,,,,,,
0.36,0.64,1,,,,,,,,,,,,,,,,,
0.11,0.15,0.31,,,,,,,,,,,,,,,,,
0.01,0.04,0.45,,,,,,,,,,,,,,,,,
0.02,0.14,0.08,,,,,,,,,,,,,,,,,
0.55,0.39,0.06,,,,,,,,,,,,,,,,,
1.38,0.58,0.92,,,,,,,,,,,,,,,,,
0.07,1.44,0.09,,,,,,,,,,,,,,,,,
0.16,0.05,0.09,,,,,,,,,,,,,,,,,
0.6,0.15,0.36,,,,,,,,,,,,,,,,,
8.21,9.53,1.14,,,,,,,,,,,,,,,,,
0.07,0.43,2.61,,,,,,,,,,,,,,,,,
0.1,1.66,1.24,,,,,,,,,,,,,,,,,
3.44,0.39,1.72,,,,,,,,,,,,,,,,,
3.46,1.28,1.26,,,,,,,,,,,,,,,,,
2.15,2.59,1.92,,,,,,,,,,,,,,,,,
1.07,0.68,2.44,,,,,,,,,,,,,,,,,
1.78,7.59,0.66,,,,,,,,,,,,,,,,,
1.3,1.37,3.99,,,,,,,,,,,,,,,,,
1.22,4.27,3.31,,,,,,,,,,,,,,,,,
2.28,0.31,1.51,,,,,,,,,,,,,,,,,
3.05,0.39,1.56,,,,,,,,,,,,,,,,,
0.93,2.43,3.64,,,,,,,,,,,,,,,,,
4.59,3.36,0.65,,,,,,,,,,,,,,,,,
3.56,0.08,6.58,,,,,,,,,,,,,,,,,
2.51,2.46,0.03,,,,,,,,,,,,,,,,,
1.37,0.98,2.83,,,,,,,,,,,,,,,,,
1.03,4.63,2.34,,,,,,,,,,,,,,,,,
2.29,2.12,0.59,,,,,,,,,,,,,,,,,
6.67,6.58,6.75,,,,,,,,,,,,,,,,,
3.52,0.25,6.23,,,,,,,,,,,,,,,,,
1.56,0.89,2.55,,,,,,,,,,,,,,,,,
0.08,3.09,1.83,,,,,,,,,,,,,,,,,
0.23,9.75,0.02,,,,,,,,,,,,,,,,,
0.96,6.63,2.31,,,,,,,,,,,,,,,,,
3.75,1.39,4.86,,,,,,,,,,,,,,,,,
0.69,2.09,2.22,,,,,,,,,,,,,,,,,
0.53,0.59,1.08,,,,,,,,,,,,,,,,,
0.22,1.43,1.35,,,,,,,,,,,,,,,,,
2.51,4.11,2.26,,,,,,,,,,,,,,,,,
3.23,5.73,1.04,,,,,,,,,,,,,,,,,
1.7,1.62,1.68,,,,,,,,,,,,,,,,,
6.19,3.75,0.05,,,,,,,,,,,,,,,,,
2.35,0.81,2.84,,,,,,,,,,,,,,,,,
0.56,0.89,1.14,0.38,,,,,,,,,,,,,,,,
2.11,1.2,0.82,0.39,,,,,,,,,,,,,,,,
0.27,0.91,1.68,0.11,,,,,,,,,,,,,,,,
0.27,0.89,2.31,0.19,,,,,,,,,,,,,,,,
0.48,1.79,1.42,0.2,,,,,,,,,,,,,,,,
0.48,0.04,0.76,0.2,,,,,,,,,,,,,,,,
1.76,1.68,1.95,0.19,,,,,,,,,,,,,,,,
0.16,0.27,4.55,0.08,,,,,,,,,,,,,,,,
0.09,0.13,0.16,1.89,,,,,,,,,,,,,,,,
1.25,0.16,0.02,1.48,,,,,,,,,,,,,,,,
0.38,0.25,0.61,0.96,,,,,,,,,,,,,,,,
0.52,0.05,0.67,2.11,,,,,,,,,,,,,,,,
0.11,1.23,0.03,0.63,,,,,,,,,,,,,,,,
1.14,1.68,0.91,0.27,,,,,,,,,,,,,,,,
0.2,0.76,0.04,0.22,,,,,,,,,,,,,,,,
2.34,1.42,1.79,0.48,,,,,,,,,,,,,,,,
0.19,2.31,0.89,1.05,,,,,,,,,,,,,,,,
2.82,1.71,1.31,0.16,,,,,,,,,,,,,,,,
1.89,3.06,0.19,4.86,,,,,,,,,,,,,,,,
3.39,0.64,3.6,1.25,,,,,,,,,,,,,,,,
5.36,2.04,7.78,4.82,,,,,,,,,,,,,,,,
